country,city,gender_ratio,macro_areas,share_pop_green,pct_open_space,built_up_area_percap,night_light_em,pm25_concentration,area,pop_density,gdp_per_pers,gender_equality_index,k_avg,grade_mean,orientation_order,prop_3way,straightness,bike_lane_area_prop,maxspeed_area_prop,latitudine,longitudine,macro_areas1
Netherlands,Tilburg,0.12237045623468425,Benelux,0.272261349589,48.54,184.209986315,17.533767511,15.05385,63.0,3116.833747507937,20066.309896388408,0.736,2.7706103557998265,0.0154250365420755,0.0874384883964602,0.6868672259184264,0.9342345007235948,0.28602378097800546,0.30432592380348306,51.5649451058,5.06196206433,Europe
Netherlands,Breda,0.1275085335378172,Benelux,0.394071784992,50.79,236.95644249900002,19.526094834000002,14.3453,48.0,2829.599262229167,19689.261565649882,0.736,2.794736842105264,0.0124205004035512,0.0550795683591603,0.6857142857142857,0.9318505200610104,0.28883498753650283,0.3199487878414158,51.589893714,4.77160236382,Europe
Netherlands,Arnhem,0.12901905220827525,Benelux,0.521659024328,77.33,214.363885951,12.774016489000001,14.7097,87.0,2297.517287241379,17354.520955931748,0.736,2.7301214257735995,0.0178391200382592,0.0101835316142874,0.6802454628541585,0.9153235593918674,0.3506923894248997,0.4393470890907569,51.9652412626,5.93003350959,Europe
Netherlands,Eindhoven,0.13151760067328458,Benelux,0.37873438797,58.52,239.055306025,22.557503384,14.5242,104.0,2694.333672451923,22868.81620062632,0.736,2.8329167467794654,0.013010519885978,0.0436506055698499,0.6990963276293021,0.9263120888361264,0.33811260650721603,0.6828590269199659,51.4443304534,5.465133850730001,Europe
UK,Manchester,0.13221271528454565,UK,0.46869049783,70.48,181.887276206,23.88880123,11.69995,673.0,3272.7708750222887,16083.89251427607,0.767,2.427500100257997,0.021275064154102,0.0071767435246836,0.6101568035076931,0.9401750486305668,0.09679078775256628,0.15131478869391018,53.491961467299994,-2.24161975635,Europe
US,Charlotte,0.1322948483973938,US,0.8293025331080001,79.32,461.48372996300003,42.023640272,9.521135000000001,325.0,1139.9909394984616,29943.00401634557,0.7240000000000001,2.7065359981480053,0.0364314877116952,0.0153051831388177,0.583146847750598,0.9428223868897958,0.07467329501853781,0.002473449651699328,35.194788884299996,-80.8479021974,US
Netherlands,Almere,0.13339468470520344,Benelux,0.39286906291900003,66.97,161.06304739,31.806499821,13.7043,56.0,2908.15912025,11891.898718152925,0.736,2.8873522194958734,0.0113488875154511,0.2035556838444334,0.6645103725184028,0.9001951029407534,0.4523592939378508,0.7724468442918317,52.3819961774,5.2352299766,Europe
UK,Newcastle upon Tyne,0.13405483624594952,UK,0.514410060702,64.32,198.406592638,28.767300503,9.842055,241.0,3131.0023858962654,13597.196676784974,0.767,2.4037482319660537,0.024871134778899,0.0264601773400833,0.6274752475247525,0.935806748199754,0.1076624799045786,0.17538703052373672,54.98532233939999,-1.5595333437,Europe
UK,Norwich,0.13591151678434046,UK,0.49702323153800004,70.86,178.24766218599999,20.324312605,11.51025,55.0,3291.6454900545455,16463.906274264547,0.767,2.3093347933205584,0.023676386913229,0.0093328457608354,0.6042978373939228,0.9461260820992948,0.07560467485961038,0.5131468316181509,52.6388777344,1.2874050648100002,Europe
UK,Nottingham,0.1386462055491194,UK,0.287715581259,52.29,173.280480737,21.383768789,13.22945,170.0,3535.595400958823,16930.698716661274,0.767,2.3468553772550584,0.0349012571137348,0.0064813237553693,0.6063490481411342,0.9493987677512932,0.0953388124636071,0.1853729702437021,52.953864326,-1.18442017313,Europe
UK,Bristol,0.13971401325067465,UK,0.364038145097,53.58,173.882931977,19.545050065999998,12.5385,169.0,3570.121806254438,17757.797535633854,0.767,2.418801293210644,0.0317545959284392,0.002837803993916,0.6430738622233275,0.9482065043140344,0.1199472197214992,0.3669094116710572,51.475688089799995,-2.5820494492900004,Europe
US,Louisville,0.14074416395377576,US,0.821310726894,75.61,625.1252515130001,37.260295035,11.37785,665.0,1128.864908781955,28029.38354678146,0.7240000000000001,2.701167315175097,0.0219586705429402,0.0704841168112582,0.5744251857092324,0.9339220746225172,0.03728670583758314,0.0021553981978898406,38.2245111517,-85.69906478,US
US,Memphis,0.1409373868549702,US,0.800834280157,71.08,522.164636823,45.20084818,10.97785,412.0,1136.2840462864078,31869.000137362604,0.7240000000000001,2.8,0.0210206503313299,0.4729145488791019,0.6152103559870551,0.9386529013817414,0.03968752046788452,0.0002475017012048355,35.0882401884,-89.90631546629999,US
UK,London,0.14213923136690726,UK,0.28807561317200003,54.28,134.704949976,29.138717700999997,13.4527,1864.0,5155.379415906652,26929.0010124918,0.767,2.507932121638426,0.0241360285279269,0.0132101274358904,0.6568211221785387,0.940078114995996,0.11473176467958535,0.4089975456922324,51.493579814099995,-0.129891877488,Europe
Netherlands,Haarlem,0.14390610096000922,Benelux,0.44473788689300003,70.1,178.69071271200002,14.824540076,13.5205,52.0,3760.656718923077,25845.46293658716,0.736,2.8468802073690056,0.0167983870967741,0.0628598039824265,0.7024625069431587,0.9337830016443384,0.35694117692056043,0.4081380735208281,52.38112718560001,4.64289013131,Europe
